professor,comment,rating
Gretchen Adams,"Gretchen is the best Chem teacher ever created. I hated Chem in HS, but when she taught me i actually started to love it! I hate myself for loving but goddamn its my guilty pleasure. It is like math, and with math takes practice. Take the homework assignments seriously, and do learn from it. This class should have stood for 4 credit hours :(",5.0
Gretchen Adams,"Gretchen is an AMAZING professor. If you take chem 101 do not take one of the TAs that teaches one section of her class, I has to transfer out of his class and it is why I can't get an A in that class. With her an easy A is possible.",5.0
Gretchen Adams,She is really nice and gives great lectures as well as one-on-one time.,5.0
Gretchen Adams,Her lectures definitely aren't boring. It's very obvious that she loves what she does and that makes this class a lot better.,5.0
Gretchen Adams,Great professor!,4.5
Gretchen Adams,"Gretchen is probably one of the best professors around. She is funny, and the lectures are phenomenal. She does everything she can to ensure the success of the students. As long as you go to class and do all the comprehensive assignments, getting an A or B in this class shouldn't be too hard. Gretchen makes learning chemistry fun and easy!",5.0
Gretchen Adams,"Gretchen is amazing! She is a fantastic lecturer. She is engaging, and she very much cares for the success of her students. Her exams are fair. Just study the material, and do the homework problems assigned in discussion. This should prepare you very well for the exam.",4.0
Gretchen Adams,"Gretchen is absolutely amazing!  She makes sure you understand things in lecture and she keeps your attention very well.  She does lots of demos that really help you get the picture, but don't be fooled.  You do have to understand the information to pass the tests.",5.0
Gretchen Adams,"Gretchen is a front-runner for most popular professor here at UIUC. She is energetic, funny, and a total chemistry dork, which endears her to the students. Make sure to devote ample time to study if you take the class, but it shouldn't be your most difficult freshman course.",4.5
Gretchen Adams,"Gretchen is by far the best professor. her chem lectures are super fun and she's always full  of energy and willing to answer any questions during lecture or clarify anything. if you go to office hours, shell help with any homework or lab write ups. you don't really need the textbook but if you need a deeper understanding i suggest to use it",4.5
Gretchen Adams,Great professor. She seriously made things that confused the hell out of me make sense.,5.0
Gretchen Adams,"This is by far the best class I have taken my whole college career. Gretchen is so interested in making sure her students succeed, and she actually takes the time to learn everyone's name in the class. She is not only extremely helpful, but also a fabulous and nice teacher. You would be dumb not to take this class as an undergraduate (an easy a).",5.0
Gretchen Adams,Amazing teacher! Go the lecture and you'll do great in the class. They're actually pretty fun most of the time too.,5.0
Gretchen Adams,"She is awesome! You have to do your work and study just like any other chemistry class, but it was easier than my high school chemistry class. She is hilarious during lectures and very friendly at office hours. iClickers are used at every lecture. You won't regret taking this class if you are taking Chem 102.",5.0
Gretchen Adams,"Easy A. this was the only class that I looked forward to going to. Gretchen is super funny, nice, and helpful! Lab was fun and there was NO textbook needed.",5.0
Gretchen Adams,Great teacher that made class fun.,5.0
Gretchen Adams,"Honestly, outside of the fact that she is a babe, Gretchen is one of the best professors I have ever had. She's hilarious and makes chemistry enjoyable. Definitely a great professor.",5.0
Gretchen Adams,she freakin rocks,5.0
Gretchen Adams,Gretchen is awesome! She is so sweet and funny! Definitely great at teaching and willing to help students outside of class. Also loved my TA. He was great at teaching also.,4.5
Gretchen Adams,Gretchen is a great teacher! She is funny and also shows the class funny demos that make chem easier to understand. A lot of weekly homework though and the TA's kinda such but but she is always willing to give extra help to her students outside of class!,4.5
Gretchen Adams,"Gretchen is a great teacher.  She explains things very well and she is happy to help if you have questions.  WARNING: she likes to blow things up! haha, you'll definitely not fall asleep in her class! :)",5.0
Gretchen Adams,MANDATORY ATTENDANCE. SHES AMAZING. LABS ARE VERY INTERESTING. SHE EXPLAINS EVERYTHING CLEARLY. SHE IS ALWAYS WILLING TO HELP. VERY NICE. NO EXAMS. NO TEXT BOOK. NO QUIZZES. JUST LAB REPORTS (12 OF THEM).,5.0
Gretchen Adams,SERIOUSLY THE BEST CHEM 101 TEACHER! Gretchen was extremely engaging and I loved her lectures. She sincerely loves her job and it is very obvious with the way she teaches her lecture. Her tests are also very easy if you take the practice exams. Make sure to go to discussion and review your graded lab work. Loved this woman!,5.0
Gretchen Adams,I hate chemistry but the class was decent. Definitly should have studied. But if chem isn't something your interested in and or bad at it. Juts don't take chem.,5.0
Gretchen Adams,"Lots of demonstrations and explosions. If the Mythbusters taught Chem 101, it would be this class.",5.0
Gretchen Adams,"You can tell that she loves teaching and is really nice and funny and explains things very clearly. She is willing to help because chemistry is a bit hard, she explains things very carefully and puts emphasis on certain things that you should know. Fun class and cool experiments.",5.0
Gretchen Adams,"She is the best, the best , the BEST teacher I have ever had. She keep the class interesting. She made me love chemistry. She really is the best",5.0
Gretchen Adams,"Gretchen is my favorite professor so far! She keeps her lectures interesting, especially with all of her in-class experiments. She goes through all of the information at a great pace so that you understand everything. She is awesome!",5.0
Gretchen Adams,"Gretchen is the coolest, funniest,last but not least BEST teacher ever. My TA isn't all that great but Gretchen's lectures are worth going to!",5.0
Gretchen Adams,She is the best chemistry teacher EVER! She will make you love chemistry. Her class is soo fun!,5.0
Gretchen Adams,Best teacher ever! was a great class and had an awesome TA!,5.0
Gretchen Adams,"Gretchen is a fantastic professor! She's really sweet, really passionate about her teaching, and beyond willing to help anyone who needs it. She genuinely cares that people perform well in her class.",4.5
Gretchen Adams,She is very sweet. She wants everyone to do well. Definitely goes above and beyond to help students. The class was a breeze because of her.,5.0
Gretchen Adams,Best chemistry teacher!,5.0
Gretchen Adams,Best professor I ever had! So much fun and passionate about what she teaches!,5.0
Gretchen Adams,I will miss her.,4.0
